antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'11.0', 'Yes', 'Unhealthy'})","frozenset({'Very Low', '1'})",0.0352675531342962,0.4594458979964876,0.0227590408945915,0.6453252032520326,1.4045727822712348,1.0,0.006555508274666,1.5240837718379836,0.2985695601439129,0.0482229647630619,0.3438680875172364,0.3474305242408848
"frozenset({'Very Low', 'Moderate', 'Male', '10.0', 'Hight'})","frozenset({'Yes', '1'})",0.0156625210565929,0.5434572237554209,0.0101071646177556,0.6453089244851259,1.1874143838329814,1.0,0.0015952544073288,1.2871560852831037,0.1603454322150673,0.0184097140618879,0.2230934449724837,0.3319534136374056
"frozenset({'Very Hight', '5.0', '10.0'})","frozenset({'Very Low', '1'})",0.0256621626465001,0.4594458979964876,0.0165585462886634,0.6452513966480447,1.4044121396268892,1.0,0.0047681709270103,1.523766681238247,0.2955425666847406,0.0353400137688365,0.3437315487254405,0.3406458246989345
"frozenset({'12.0', 'Moderate', 'Hight'})","frozenset({'Yes', '1'})",0.0256621626465001,0.5434572237554209,0.0165585462886634,0.6452513966480447,1.1873085285152736,1.0,0.0026122586212364,1.2869473535083409,0.1619139979632898,0.02996691963417,0.2229674374216591,0.3378601506091901
"frozenset({'Very Low', 'Low', 'Very Hight', 'Female', '10.0'})","frozenset({'Yes', '1'})",0.0161642951865524,0.5434572237554209,0.010429733701301,0.6452328159645233,1.1872743387341664,1.0,0.0016451307152541,1.2868799505394073,0.1603262414011105,0.0189910591920642,0.2229267387522503,0.3322121344216206
"frozenset({'Very Low', ""'5-6 hours'"", 'Unhealthy', '4.0'})","frozenset({'Yes', '1'})",0.0172753664743199,0.5434572237554209,0.0111465538869574,0.6452282157676349,1.187265874044238,1.0,0.001758131183466,1.2868632640344275,0.1605013961614385,0.0202817268814399,0.2229166625948172,0.3328693344221014
"frozenset({'Very Low', 'Female', ""'More than 8 hours'"", 'Unhealthy'})",frozenset({'1'}),0.0250528654886921,0.5854987276441704,0.0161642951865524,0.6452074391988555,1.1019792336610716,1.0,0.0014958743190826,1.168291892648084,0.0949198987748879,0.0271948866377231,0.1440495253858424,0.3364075883555492
"frozenset({'Yes', ""'Less than 5 hours'"", 'No'})",frozenset({'1'}),0.1440450163076592,0.5854987276441704,0.0929357370703559,0.6451853694948992,1.10194153980639,1.0,0.0085975632987376,1.168219224122075,0.1080790974702624,0.1459858124085125,0.1439962813901586,0.4019572782831989
"frozenset({'3.0', 'Yes', 'Moderate'})",frozenset({'1'}),0.0650514318483208,0.5854987276441704,0.0419698218701838,0.6451790633608816,1.1019307692722795,1.0,0.0038822912915605,1.1681984616860726,0.0989380327947636,0.0689634864546525,0.1439810676032821,0.3584306188498825
"frozenset({""'Less than 5 hours'""})",frozenset({'1'}),0.2978387871402458,0.5854987276441704,0.1921436507652055,0.6451263537906137,1.1018407441914737,1.0,0.0177594198515086,1.168024948551015,0.1316333399668434,0.2779880736323568,0.1438539037710257,0.4866486323311541
"frozenset({'Yes', ""'7-8 hours'"", 'Moderate', 'Male'})",frozenset({'1'}),0.0391742231461237,0.5854987276441704,0.025267911544389,0.6450137236962489,1.1016483781126984,1.0,0.0023314537358847,1.1676543574353653,0.0960313000670913,0.0421549868452523,0.1435821794076126,0.3440849715445005
"frozenset({'Low', ""'5-6 hours'"", 'Unhealthy'})","frozenset({'Yes', '1'})",0.0529013297014443,0.5434572237554209,0.0341206408372459,0.6449864498644986,1.1868210075624466,1.0,0.0053710310647288,1.2859869040782417,0.166205449067044,0.0606871932173137,0.2223871045430503,0.35388542964108
"frozenset({""'Less than 5 hours'"", 'Moderate', 'Male', 'Yes', 'No'})",frozenset({'1'}),0.0285652843984086,0.5854987276441704,0.0184222787713702,0.644918444165621,1.1014856458536355,1.0,0.001697341101308,1.1673410391081136,0.0948445015366663,0.0309284553823936,0.1433523139355809,0.3381913474500975
"frozenset({'Yes', 'Unhealthy', '4.0'})","frozenset({'Very Low', '1'})",0.0823626393319235,0.4594458979964876,0.0531163757571413,0.6449086161879896,1.4036660660161553,1.0,0.0152751989679248,1.5222957431422444,0.3133916018508079,0.1086908690869087,0.3430974207837883,0.3802591290628691
